"","year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
"117",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,3134,1277383,20210113,NA,"LIBERTARIAN"
"118",1976,"LOUISIANA","LA",22,72,45,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,1473,1277383,20210113,NA,"OTHER"
"119",1976,"MAINE","ME",23,11,2,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,236320,482968,20210113,NA,"REPUBLICAN"
"120",1976,"MAINE","ME",23,11,2,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,232279,482968,20210113,NA,"DEMOCRAT"
"121",1976,"MAINE","ME",23,11,2,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,10874,482968,20210113,NA,"OTHER"
"122",1976,"MAINE","ME",23,11,2,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,3495,482968,20210113,NA,"OTHER"
"123",1976,"MARYLAND","MD",24,52,52,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,759612,1432273,20210113,NA,"DEMOCRAT"
"124",1976,"MARYLAND","MD",24,52,52,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,672661,1432273,20210113,NA,"REPUBLICAN"
"125",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1429475,2547558,20210113,NA,"DEMOCRAT"
"126",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,1030276,2547558,20210113,NA,"REPUBLICAN"
"127",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,65637,2547558,20210113,NA,"OTHER"
"128",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,8138,2547558,20210113,NA,"OTHER"
"129",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,7555,2547558,20210113,NA,"OTHER"
"130",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,4922,2547558,20210113,NA,"OTHER"
"131",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","SCATTERING","",FALSE,1401,2547558,20210113,NA,"OTHER"
"132",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,135,2547558,20210113,NA,"LIBERTARIAN"
"133",1976,"MASSACHUSETTS","MA",25,14,3,"US PRESIDENT","JULIUS """"JULES"""", LEVIN","SOCIALIST LABOR",FALSE,19,2547558,20210113,NA,"OTHER"
"134",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,1893742,3651590,20210113,NA,"REPUBLICAN"
"135",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1696714,3651590,20210113,NA,"DEMOCRAT"
"136",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,47905,3651590,20210113,NA,"OTHER"
"137",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,5407,3651590,20210113,NA,"LIBERTARIAN"
"138",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","WRIGHT, MARGARET","HUMAN RIGHTS",FALSE,3504,3651590,20210113,NA,"OTHER"
"139",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,1804,3651590,20210113,NA,"OTHER"
"140",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,1366,3651590,20210113,NA,"OTHER"
"141",1976,"MICHIGAN","MI",26,34,23,"US PRESIDENT","JULIUS """"JULES"""", LEVIN","SOCIALIST LABOR",FALSE,1148,3651590,20210113,NA,"OTHER"
"142",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1070440,1949931,20210113,NA,"DEMOCRAT"
"143",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,819395,1949931,20210113,NA,"REPUBLICAN"
"144",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","MCCARTHY '76",FALSE,35490,1949931,20210113,NA,"OTHER"
"145",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,13592,1949931,20210113,NA,"OTHER"
"146",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,4149,1949931,20210113,NA,"OTHER"
